RSN,EarthquakeName,Year,StationName,EarthquakeMagnitude,MagnitudeType,StationLatitude,StationLongitude,ClstD_km_,Vs30_m_s_,T__min_,T__max_,mean_m_T_0P1,mean_r_T_0P1,mean_epsiolon_T_0P1,mean_m_T_1P0,mean_r_T_1P0,mean_epsiolon_T_1P0,mean_m_T_5P0,mean_r_T_5P0,mean_epsiolon_T_5P0
1,"Helena, Montana-01",1935,"Carroll College",6,Mw,46.58,-112.03,2.86,593.35,0.065,0.07,6.16,19.16,0.87,6.64,28.3,0.83,7.24,125.27,0.86
112,"Oroville-03",1975,"Broadbeck Residence",4.7,Mw,39.446,-121.55,9.25,427.38,0.08,0.08,6.44,22.93,1,7.27,58.38,1.08,8.03,124.59,1.09
113,"Oroville-03",1975,"DWR Garage",4.7,Mw,39.51,-121.505,6.03,634.85,0.02,0.065,6.49,17.34,0.75,7.25,50.6,0.84,8.04,120.29,0.95
115,"Oroville-03",1975,"Johnson Ranch",4.7,Mw,39.425,-121.521,9.83,589.8,0.04,0.06,6.49,20.31,0.84,7.34,61.86,0.99,8.09,128.61,1.04
160,"Imperial Valley-06",1979,"Bonds Corner",6.53,Mw,32.6931,-115.3382,2.66,223.03,0.029,0.25,6.92,8.66,1.54,7.32,5.64,1.38,7.5,5.56,1.17
174,"Imperial Valley-06",1979,"El Centro Array #11",6.53,Mw,32.7517,-115.5952,12.56,196.25,0.17,0.28,6.72,13.33,1.86,7.18,13.28,1.9,7.41,14.22,1.69
181,"Imperial Valley-06",1979,"El Centro Array #6",6.53,Mw,32.839,-115.487,1.35,203.22,0.02,0.065,6.95,5.36,1.52,7.34,1.88,1.39,7.49,1.72,1.34
183,"Imperial Valley-06",1979,"El Centro Array #8",6.53,Mw,32.811,-115.532,3.86,206.08,0.029,0.17,6.88,9.73,1.69,7.34,6.82,1.53,7.5,6.53,1.35
184,"Imperial Valley-06",1979,"El Centro Differential Array",6.53,Mw,32.796,-115.535,5.09,202.26,0.12,0.16,6.84,11.01,1.74,7.33,8.59,1.6,7.5,8.14,1.38
230,"Mammoth Lakes-01",1980,"Convict Creek",6.06,Mw,37.614,-118.831,6.63,382.12,0.13,0.14,5.99,6.72,1.85,6.7,5.79,1.47,7.08,10.65,1.1
240,"Mammoth Lakes-04",1980,"Convict Creek",5.7,Mw,37.614,-118.831,5.32,382.12,0.085,0.15,5.99,6.72,1.85,6.7,5.79,1.47,7.08,10.65,1.1
